[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>	(함수용)
201	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	1	2030.0	4100	28100	4	4	4	5
202	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	2	2040.0	4120	28200	4	4	4	5
203	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	3	2050.0	4140	28300	4	4	4	5
204	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	4	2060.0	4160	28400	4	4	4	5
205	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	5	2070.0	4180	28500	4	4	4	5
206	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	6	2080.0	4200	28600	4	4	4	5
207	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	7	2090.0	4220	28700	4	4	4	5
208	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	8	2100.0	4240	28800	4	4	4	5
209	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	9	2110.0	4260	28900	4	4	4	5
210	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	5	10	2120.0	4280	29000	4	4	4	5
211	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	1	2130.0	4300	29100	4	4	4	5
212	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	2	2140.0	4320	29200	4	4	4	5
213	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	3	2150.0	4340	29300	4	4	4	5
214	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	4	2160.0	4360	29400	4	4	4	5
215	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	5	2170.0	4380	29500	4	4	4	5
216	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	6	2180.0	4400	29600	4	4	4	5
217	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	7	2190.0	4420	29700	4	4	4	5
218	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	8	2200.0	4440	29800	4	4	4	5
219	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	9	2210.0	4460	29900	4	4	4	5
220	Spade	뭔가 딱딱한게 있어!! 삽이 안 들어가...	휴, 다행이다. 치워 줘서 고마워!	5	10	2220.0	4480	30000	4	4	4	5
221	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	1	2230.0	4500	30100	4	4	4	5
222	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	2	2240.0	4520	30200	4	4	4	5
223	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	3	2250.0	4540	30300	4	4	4	5
224	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	4	2260.0	4560	30400	4	4	4	5
225	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	5	2270.0	4580	30500	4	4	4	5
226	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	6	2280.0	4600	30600	4	4	4	5
227	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	7	2290.0	4620	30700	4	4	4	5
228	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	8	2300.0	4640	30800	4	4	4	5
229	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	9	2310.0	4660	30900	4	4	4	5
230	Fertilizer	끄으응... 무, 무거워...!!	히힛~ 들어 줘서 고마워! 	5	10	2320.0	4680	31000	4	4	4	5
231	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	1	2330.0	4700	31100	4	4	4	5
232	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	2	2340.0	4720	31200	4	4	4	5
233	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	3	2350.0	4740	31300	4	4	4	5
234	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	4	2360.0	4760	31400	4	4	4	5
235	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	5	2370.0	4780	31500	4	4	4	5
236	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	6	2380.0	4800	31600	4	4	4	5
237	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	7	2390.0	4820	31700	4	4	4	5
238	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	8	2400.0	4840	31800	4	4	4	5
239	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	9	2410.0	4860	31900	4	4	4	5
240	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	10	2420.0	4880	32000	4	4	4	5
241	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	1	2430.0	4900	32100	4	4	4	5
242	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	2	2440.0	4920	32200	4	4	4	5
243	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	3	2450.0	4940	32300	4	4	4	5
244	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	4	2460.0	4960	32400	4	4	4	5
245	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	5	2470.0	4980	32500	4	4	4	5
246	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	6	2480.0	5000	32600	4	4	4	5
247	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	7	2490.0	5020	32700	4	4	4	5
248	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	8	2500.0	5040	32800	4	4	4	5
249	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	9	2510.0	5060	32900	4	4	4	5
250	Nutritional	이건 어디에 꽂는거지?	고마워! 덕분에 꽃이 더 건강해지겠어~	5	10	2520.0	5080	33000	4	4	4	5
